Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,SalePrice,House_Age,Years_Since_Modified,Garage_Age,TotalBaths,LivingArea,PorchDeckSF
193,20,RL,68.0,9017,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,560,1,0,871,1431,GasA,5,1,SBrkr,1431,0,0,1431,1,0,2,0,3,1,4,5,0,0,Attchd,3,666,3,3,Y,0,35,0,0,0,0,0,NoFence,None,0,192000,10,10,10.0,2.0,2862,35
194,160,RM,24.0,2522,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,4,3,PConc,4,3,1,1,0,1,0,970,970,GasA,5,1,SBrkr,970,739,0,1709,0,0,2,0,3,1,4,2,0,0,Detchd,1,380,3,3,Y,0,40,0,0,0,0,0,NoFence,None,0,130000,2,2,2.0,2.0,2679,40
195,20,RL,60.0,7180,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,3,5,390,1,0,474,864,GasA,3,1,SBrkr,864,0,0,864,0,0,1,0,3,1,3,5,0,0,Detchd,1,352,3,3,Y,0,0,0,0,0,0,0,NoFence,None,0,127000,36,36,19.0,1.0,1728,0
196,160,RL,24.0,2280,Pave,NoAlley,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,Gable,CompShg,Plywood,Brk Cmn,None,0.0,3,3,CBlock,4,3,1,5,566,1,0,289,855,GasA,3,1,SBrkr,855,601,0,1456,0,0,2,1,3,1,3,5,1,3,Attchd,1,440,3,3,Y,87,0,0,0,0,0,0,NoFence,None,0,148500,33,33,33.0,2.5,2311,87
197,20,RL,79.0,9416,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,Hip,CompShg,CemntBd,CmentBd,Stone,205.0,5,3,PConc,5,3,1,6,1126,1,0,600,1726,GasA,5,1,SBrkr,1726,0,0,1726,1,0,2,0,3,1,5,5,1,4,Attchd,3,786,3,3,Y,171,138,0,0,266,0,0,NoFence,None,0,311872,0,0,0.0,2.0,3452,575
198,75,RL,174.0,25419,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,2Story,8,4,Gable,CompShg,Stucco,Stucco,None,0.0,4,4,PConc,3,3,1,6,1036,2,184,140,1360,GasA,4,1,SBrkr,1360,1360,392,3112,1,1,2,0,4,1,4,5,1,5,Detchd,1,795,3,3,Y,0,16,552,0,0,512,5,GdPrv,None,0,235000,88,16,88.0,2.0,4080,568
199,75,RM,92.0,5520,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2.5Fin,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,1,0,1,0,755,755,GasA,5,1,SBrkr,929,929,371,2229,0,0,1,0,5,1,3,5,0,0,NoGarage,0,0,0,0,Y,0,198,30,0,0,0,0,MnPrv,None,0,104000,97,59,-41.0,1.0,2613,228
200,20,RL,76.0,9591,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,262.0,4,3,PConc,5,3,3,6,1088,1,0,625,1713,GasA,5,1,SBrkr,1713,0,0,1713,1,0,2,0,3,1,5,5,1,4,Attchd,3,856,3,3,Y,0,26,0,0,170,0,0,NoFence,None,0,274900,5,4,5.0,2.0,3426,196
201,20,RM,80.0,8546,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0,1,0,1121,1121,GasA,5,1,SBrkr,1121,0,0,1121,0,0,2,0,2,1,3,5,0,0,Attchd,2,440,3,3,Y,132,64,0,0,0,0,0,NoFence,None,0,140000,7,6,7.0,2.0,2242,196
202,20,RL,75.0,10125,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,6,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3,3,1,5,641,2,279,276,1196,GasA,3,1,SBrkr,1279,0,0,1279,0,1,2,0,3,1,3,5,2,2,Detchd,1,473,3,3,Y,238,83,0,0,0,0,0,MnPrv,None,0,171500,31,31,28.0,2.0,2475,321
203,50,RL,50.0,7000,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,6,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,BrkTil,2,3,1,2,617,1,0,0,617,GasA,4,1,SBrkr,865,445,0,1310,0,0,2,0,2,1,3,4,0,0,Attchd,1,398,3,3,Y,0,0,126,0,0,0,0,NoFence,None,0,112000,82,56,82.0,2.0,1927,126
204,120,RM,62.850177475556634,4438,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,205.0,4,3,PConc,4,3,3,6,662,1,0,186,848,GasA,5,1,SBrkr,848,0,0,848,1,0,1,0,1,1,4,5,1,4,Attchd,2,420,3,3,Y,149,0,0,0,0,0,0,NoFence,None,0,149000,4,4,4.0,1.0,1696,149
205,50,RM,50.0,3500,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,CBlock,3,3,1,2,312,1,0,408,720,GasA,3,1,SBrkr,720,564,0,1284,0,0,1,1,2,1,3,5,0,0,Detchd,1,240,3,3,Y,0,35,0,0,0,0,0,MnWw,None,0,110000,62,59,61.0,1.5,2004,35
206,20,RL,99.0,11851,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,1,1,0,1,0,1424,1424,GasA,5,1,SBrkr,1442,0,0,1442,0,0,2,0,3,1,3,5,0,0,Attchd,2,500,3,3,Y,0,34,0,508,0,0,0,NoFence,None,0,180500,19,19,19.0,2.0,2866,542
207,20,RL,40.0,13673,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,3,3,1,1,0,1,0,1140,1140,GasA,3,1,SBrkr,1696,0,0,1696,0,0,1,1,3,1,3,4,1,3,Attchd,2,349,3,3,Y,0,30,0,0,0,0,0,NoFence,None,0,143900,45,45,45.0,1.5,2836,30
208,20,RL,73.36838665945041,12493,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,1,5,419,3,306,375,1100,GasA,3,1,SBrkr,1100,0,0,1100,1,0,1,0,3,1,3,5,1,1,Attchd,2,312,3,3,Y,355,0,0,0,0,0,0,GdWo,None,0,141000,48,48,48.0,1.0,2200,355
209,60,RL,75.81153617938403,14364,Pave,NoAlley,IR1,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Plywood,Plywood,BrkFace,128.0,4,3,CBlock,4,3,4,6,1065,1,0,92,1157,GasA,5,1,SBrkr,1180,882,0,2062,1,0,2,1,3,1,3,5,1,4,Attchd,3,454,3,3,Y,60,55,0,0,154,0,0,NoFence,None,0,277000,19,18,19.0,2.5,3219,269
210,20,RL,75.0,8250,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Hip,CompShg,HdBoard,HdBoard,Stone,260.0,3,3,CBlock,4,3,1,3,787,1,0,305,1092,GasA,5,1,SBrkr,1092,0,0,1092,1,0,1,0,3,1,3,5,0,0,Attchd,2,504,3,4,Y,0,0,0,0,0,0,0,MnPrv,None,0,145000,44,44,44.0,1.0,2184,0
211,30,RL,67.0,5604,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,Stucco,Stucco,None,0.0,3,3,CBlock,3,3,1,3,468,1,0,396,864,GasA,3,0,FuseA,864,0,0,864,1,0,1,0,2,1,3,5,0,0,NoGarage,0,0,0,0,Y,0,0,96,0,0,0,0,NoFence,None,0,98000,83,58,-42.0,1.0,1728,96
212,20,RL,83.0,10420,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,2,6,36,1,0,1176,1212,GasA,5,1,SBrkr,1212,0,0,1212,0,0,2,0,3,1,4,5,0,0,Attchd,2,460,3,3,Y,100,22,0,0,0,0,0,NoFence,None,0,186000,1,1,1.0,2.0,2424,122
213,60,FV,72.0,8640,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,6,822,1,0,78,900,GasA,5,1,SBrkr,932,920,0,1852,1,0,2,1,3,1,4,5,1,3,Attchd,2,644,3,3,Y,168,108,0,0,0,0,0,NoFence,None,0,252678,0,0,0.0,2.5,2752,276
214,20,RL,43.0,13568,Pave,NoAlley,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,5,716,1,0,274,990,GasA,5,1,SBrkr,990,0,0,990,0,1,1,0,3,1,3,5,0,0,Attchd,1,576,3,3,Y,224,0,0,0,0,0,0,NoFence,None,0,156000,11,11,10.0,1.0,1980,224
215,60,RL,71.28824920073622,10900,Pave,NoAlley,IR1,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,2Story,6,7,Gable,CompShg,HdBoard,HdBoard,BrkFace,153.0,3,3,CBlock,4,3,1,6,378,1,0,311,689,GasA,5,1,SBrkr,689,703,0,1392,0,0,1,1,3,1,3,5,0,0,Attchd,3,299,3,3,Y,0,36,0,0,0,0,0,MnPrv,Shed,450,161750,33,33,33.0,1.5,2081,36
216,20,RL,72.0,10011,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,64.0,3,3,CBlock,3,3,1,4,360,1,0,710,1070,GasA,3,1,SBrkr,1236,0,0,1236,0,1,1,0,2,1,4,4,1,2,Attchd,1,447,3,3,Y,0,0,0,0,0,0,0,MnPrv,None,0,134450,49,10,49.0,1.0,2306,0
217,20,RL,65.0,8450,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,266.0,4,3,PConc,4,3,2,6,946,1,0,490,1436,GasA,5,1,SBrkr,1436,0,0,1436,1,0,2,0,3,1,4,5,0,0,Attchd,1,484,3,3,Y,139,98,0,0,0,0,0,NoFence,None,0,210000,4,4,4.0,2.0,2872,237
218,70,RM,57.0,9906,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,4,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,1,1,0,1,0,686,686,GasA,2,0,SBrkr,810,518,0,1328,0,0,1,0,3,1,3,5,0,0,Detchd,1,210,3,3,Y,0,172,60,0,0,0,0,NoFence,None,0,107000,81,56,66.0,1.0,2014,232
219,50,RL,77.50385140003286,15660,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,9,Gable,CompShg,VinylSd,VinylSd,BrkFace,312.0,4,4,CBlock,3,3,1,4,341,1,0,457,798,GasA,5,1,SBrkr,1137,817,0,1954,0,1,1,1,3,1,4,5,2,3,Attchd,1,431,3,3,Y,0,119,150,0,0,0,0,NoFence,None,0,311500,69,2,69.0,1.5,2752,269
220,120,RL,43.0,3010,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,4,3,PConc,4,3,3,6,16,1,0,1232,1248,GasA,5,1,SBrkr,1248,0,0,1248,0,0,2,0,2,1,4,5,0,0,Attchd,3,438,3,3,Y,108,0,0,0,0,0,0,NoFence,None,0,167240,1,0,1.0,2.0,2496,108
221,20,RL,73.0,8990,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,2,1,0,1,0,1498,1498,GasA,5,1,SBrkr,1498,0,0,1498,0,0,2,0,2,1,4,5,0,0,Attchd,2,675,3,3,Y,351,33,0,0,0,0,0,NoFence,None,0,204900,0,0,0.0,2.0,2996,384
222,60,RL,67.590227051911,8068,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,1,0,1,0,1010,1010,GasA,5,1,SBrkr,1010,1257,0,2267,0,0,2,1,4,1,4,5,1,3,BuiltIn,2,390,3,3,Y,120,46,0,0,0,0,0,NoFence,None,0,200000,7,7,7.0,2.5,3277,166
223,60,RL,85.0,11475,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,1,5,550,1,0,163,713,GasA,3,1,SBrkr,811,741,0,1552,1,0,2,1,3,1,3,5,1,3,Attchd,2,434,3,3,Y,209,208,0,0,0,0,0,MnPrv,None,0,179900,31,31,31.0,2.5,2265,417
224,20,RL,70.0,10500,Pave,NoAlley,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,5,524,2,180,160,864,GasA,4,1,SBrkr,864,0,0,864,0,0,1,0,2,1,3,5,0,0,Detchd,1,576,3,3,Y,216,0,0,0,0,0,0,NoFence,None,0,97000,38,38,20.0,1.0,1728,216
225,20,RL,103.0,13472,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,922.0,5,3,PConc,5,3,4,6,56,1,0,2336,2392,GasA,5,1,SBrkr,2392,0,0,2392,0,0,2,0,3,1,5,5,1,5,Attchd,3,968,3,3,Y,248,105,0,0,0,0,0,NoFence,None,0,386250,6,6,6.0,2.0,4784,353
226,160,RM,21.0,1680,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,142.0,3,3,CBlock,3,3,1,1,0,1,0,630,630,GasA,3,1,SBrkr,630,672,0,1302,0,0,2,1,3,1,3,5,0,0,Detchd,1,280,3,3,Y,0,0,0,0,0,0,0,NoFence,None,0,112000,38,38,18.0,2.5,1932,0
227,60,RL,82.0,9950,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,290.0,4,3,PConc,4,3,1,6,565,1,0,638,1203,GasA,5,1,SBrkr,1214,1306,0,2520,0,0,2,1,4,1,4,5,1,3,Attchd,2,721,3,3,Y,224,114,0,0,0,0,0,NoFence,None,0,290000,12,12,12.0,2.5,3723,338
228,160,RM,21.0,1869,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,127.0,3,3,CBlock,3,3,1,3,321,1,0,162,483,GasA,3,1,SBrkr,483,504,0,987,0,0,1,1,2,1,3,5,0,0,Detchd,1,280,3,3,Y,0,0,0,0,0,0,0,NoFence,None,0,106000,38,38,21.0,1.5,1470,0
229,20,RL,70.0,8521,Pave,NoAlley,Reg,Lvl,AllPub,FR2,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,5,842,1,0,70,912,GasA,3,1,SBrkr,912,0,0,912,0,0,1,0,3,1,3,5,1,2,Detchd,1,336,3,3,Y,0,0,0,0,0,0,0,MnPrv,None,0,125000,43,43,36.0,1.0,1824,0
230,120,RL,43.0,3182,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,4,3,PConc,4,3,3,6,16,1,0,1357,1373,GasA,5,1,SBrkr,1555,0,0,1555,0,0,2,0,2,1,4,5,1,3,Attchd,3,430,3,3,Y,143,20,0,0,0,0,0,NoFence,None,0,192500,4,3,4.0,2.0,2928,163
231,20,RL,73.0,8760,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,MetalSd,MetalSd,BrkFace,220.0,3,3,CBlock,3,3,1,1,0,1,0,1194,1194,GasA,3,1,SBrkr,1194,0,0,1194,1,0,1,0,3,1,3,5,0,0,Attchd,2,312,3,3,Y,0,0,120,0,0,0,0,NoFence,None,0,148000,51,51,51.0,1.0,2388,120
232,60,RL,174.0,15138,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,506.0,4,3,PConc,4,3,1,6,689,1,0,773,1462,GasA,5,1,SBrkr,1490,1304,0,2794,1,0,2,1,4,1,5,5,1,3,Attchd,3,810,3,3,Y,0,146,202,0,0,0,0,NoFence,None,0,403000,14,13,14.0,2.5,4256,348
233,160,RM,21.0,1680,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,297.0,3,3,CBlock,3,3,1,1,0,1,0,483,483,GasA,3,1,SBrkr,483,504,0,987,0,0,1,1,2,1,3,5,1,1,Attchd,1,288,3,3,Y,0,0,0,0,0,0,0,NoFence,None,0,94500,34,34,34.0,1.5,1470,0
234,20,RL,75.0,10650,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,4,3,2,182,5,712,0,894,GasA,3,1,SBrkr,894,0,0,894,1,0,1,0,3,1,3,5,0,0,Attchd,1,308,3,3,Y,365,0,0,0,0,0,0,MnPrv,None,0,128200,34,34,34.0,1.0,1788,365
235,60,RL,67.30686871635483,7851,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,625,1,0,235,860,GasA,5,1,SBrkr,860,1100,0,1960,1,0,2,1,4,1,4,5,2,3,BuiltIn,3,440,3,3,Y,288,48,0,0,0,0,0,NoFence,None,0,216500,8,8,8.0,2.5,2820,336
236,160,RM,21.0,1680,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,6,3,Gable,CompShg,HdBoard,HdBoard,BrkFace,604.0,3,3,CBlock,3,3,1,5,358,1,0,125,483,GasA,3,1,SBrkr,483,504,0,987,0,0,1,1,2,1,3,5,0,0,Detchd,1,264,3,3,Y,0,0,0,0,0,0,0,NoFence,None,0,89500,37,37,37.0,1.5,1470,0
237,20,RL,65.0,8773,Pave,NoAlley,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,98.0,4,3,PConc,4,3,3,6,24,1,0,1390,1414,GasA,5,1,SBrkr,1414,0,0,1414,0,0,2,0,3,1,4,5,0,0,Attchd,2,494,3,3,Y,132,105,0,0,0,0,0,NoFence,None,0,185500,6,6,6.0,2.0,2828,237
238,60,RL,69.3987583641013,9453,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,RRNe,Norm,1Fam,2Story,7,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4,3,1,4,402,1,0,594,996,GasA,5,1,SBrkr,1014,730,0,1744,0,0,2,1,3,1,4,5,0,0,Attchd,2,457,3,3,Y,370,70,0,238,0,0,0,NoFence,None,0,194500,17,7,17.0,2.5,2740,678
239,20,RL,93.0,12030,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,254.0,5,3,PConc,5,3,1,1,0,1,0,1694,1694,GasA,5,1,SBrkr,1694,0,0,1694,0,0,2,0,3,1,4,5,0,0,Attchd,3,818,3,3,Y,168,228,0,0,0,0,0,NoFence,None,0,318000,0,0,0.0,2.0,3388,396
240,50,RL,52.0,8741,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,2,1,2,94,1,0,641,735,GasA,3,1,FuseA,798,689,0,1487,0,0,1,1,3,1,3,5,1,4,Detchd,1,220,3,3,Y,0,140,0,0,0,0,0,MnPrv,None,0,113000,65,60,61.0,1.5,2222,140
241,20,FV,75.0,9000,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,36.0,4,3,PConc,4,3,3,6,1078,1,0,488,1566,GasA,5,1,SBrkr,1566,0,0,1566,1,0,2,0,3,1,4,5,0,0,Attchd,2,750,3,3,Y,144,168,0,0,0,0,0,NoFence,None,0,262500,2,2,2.0,2.0,3132,312
242,30,RM,40.0,3880,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,9,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,5,329,1,0,357,686,GasA,4,1,SBrkr,866,0,0,866,0,0,1,0,2,1,4,5,0,0,NoGarage,0,0,0,0,Y,58,42,0,0,0,0,0,NoFence,None,0,110500,62,10,-43.0,1.0,1552,100
243,50,RM,63.0,5000,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,4,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,1,1,0,1,0,540,540,GasA,4,0,FuseA,889,551,0,1440,0,0,1,0,3,1,3,5,0,0,Attchd,1,352,2,3,Y,0,0,77,0,0,0,0,NoFence,None,0,79000,106,56,66.0,1.0,1980,77
244,160,RL,75.0,10762,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,TwnhsE,2Story,6,6,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,4,3,1,1,0,1,0,626,626,GasA,3,1,SBrkr,626,591,0,1217,0,0,1,1,3,1,3,5,1,3,Attchd,2,288,3,3,Y,0,28,0,0,0,0,0,NoFence,None,0,120000,29,29,29.0,1.5,1843,28
245,60,RL,68.65053566237924,8880,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,695,1,0,253,948,GasA,5,1,SBrkr,1222,888,0,2110,1,0,2,1,3,1,4,5,2,2,Attchd,2,463,3,3,Y,0,130,0,0,0,0,0,NoFence,None,0,205000,16,8,16.0,2.5,3058,130
246,20,RL,80.0,10400,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,102.0,3,3,CBlock,4,3,3,6,929,1,0,916,1845,GasA,4,1,SBrkr,1872,0,0,1872,0,1,2,0,3,1,3,5,1,3,Attchd,3,604,3,3,Y,197,39,0,0,0,0,0,NoFence,None,0,241500,18,18,18.0,2.0,3717,236
247,190,RM,69.0,9142,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,6,8,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,2,Stone,2,3,1,1,0,1,0,1020,1020,GasA,4,0,FuseP,908,1020,0,1928,0,0,2,0,4,2,2,5,0,0,Detchd,1,440,1,1,Y,0,60,112,0,0,0,0,NoFence,None,0,137000,96,56,96.0,2.0,2948,172
248,20,RL,75.0,11310,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,Wd Sdng,BrkFace,None,0.0,3,3,CBlock,3,3,1,1,0,1,0,1367,1367,GasA,5,1,SBrkr,1375,0,0,1375,0,0,1,0,2,1,3,5,1,3,Attchd,1,451,3,3,Y,0,30,0,0,0,0,0,NoFence,None,0,140000,52,52,52.0,1.0,2742,30
249,60,RL,72.0,11317,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,101.0,4,3,PConc,4,3,1,1,0,1,0,840,840,GasA,5,1,SBrkr,840,828,0,1668,0,0,2,1,3,1,4,5,0,0,Attchd,2,500,3,3,Y,144,68,0,0,0,0,0,NoFence,None,0,180000,4,4,4.0,2.5,2508,212
